Nombre,Tipo,Fecha_Desde ,Fecha_Hasta,País,Lugar,Territorio,Entidad,Escenario,Descripcion_del_Evento,Pagina_Web,email
GRAND PRIX INTERNACIONAL IDRD,Grand Prix Internacional,20/07/2013,20/07/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
FESTIVAL DE SEMIFONDO Y FONDO,Torneo Abierto,21/07/2013,21/07/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
CAMPEONATO PANAMERICANO JUVENIL,Campeonato Panamericano,02/08/2013,04/08/2013,PERU,Lima,,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
CAMPEONATO MUNDIAL DE ATLETISMO,Campeonato Mundial,10/08/2013,18/08/2013,RUSIA,Moscú,,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
CAMPEONATO NACIONAL INFANTIL CATEGORIA B,Campeonato Nacional,07/09/2013,08/09/2013,COLOMBIA,Santander De Quilichao , Cauca,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
CAMPEONATO MUNDIAL DE MONTAÑA,Campeonato Mundial,08/09/2013,08/09/2013,POLONIA,Krynica Zdroj,,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
CAMPEONATO NACIONAL MUNICIPAL Y DE CLUBES,Campeonato Nacional,28/09/2013,29/09/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
CAMPEONATO NACIONAL MUNICIPAL Y DE CLUBES,Campeonato Nacional,05/10/2013,06/10/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
CAMPEONATO SURAMERICANO DE MARATON,Campeonato Suramericano,06/10/2013,06/10/2013,ARGENTINA,Buenos Aires,,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
CAMPEONATO SURAMERICANO JUVENIL,Campeonato Suramericano,18/10/2013,20/10/2013,ARGENTINA,Resistencia,,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
Campeonato de Automovilismo,Campeonato Nacional,03/05/2013,05/05/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato de TC2000,Campeonato Nacional,05/05/2013,05/05/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Copa Naspal Rally Colombia,Campeonato Nacional,05/05/2013,05/05/2013,COLOMBIA,Bojaca , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato Nacional de Automovilismo,Campeonato Nacional,25/05/2013,26/05/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato Colombiano de Rally,Campeonato Nacional,01/06/2013,01/06/2013,COLOMBIA,Pasto , Nariño,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Copa Naspal Rally Colombia,Campeonato Nacional,01/06/2013,01/06/2013,COLOMBIA,Bojaca , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato TC2000,Campeonato Nacional,15/06/2013,15/06/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Copa Mac,Campeonato Nacional,15/06/2013,16/06/2013,COLOMBIA,Candelaria , Valle del Cauca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
